Started render process: /usr/bin/melt /tmp/kdenlive_rendering_dY8473.mlt.mlt -profile hdv_720_30p -consumer avformat:/var/www/html/1/ec01/cluster/1/gardening/preparing/mulching/demonstration/trial/video/mulching-02.mp4 progress=1 properties=x264-medium preset=veryfast crf=20 ab=160k threads=1 real_time=-1
melt: Current Frame: 1, percentage: 0
melt: Current Frame: 11, percentage: 0
melt: Current Frame: 23, percentage: 0
melt: Current Frame: 34, percentage: 0
melt: Current Frame: 39, percentage: 0
melt: Current Frame: 42, percentage: 0
melt: Current Frame: 45, percentage: 0
melt: Current Frame: 48, percentage: 0
melt: Current Frame: 51, percentage: 0
melt: Current Frame: 54, percentage: 0
melt: Current Frame: 56, percentage: 0
melt: Current Frame: 60, percentage: 0
melt: Current Frame: 64, percentage: 0
melt: Current Frame: 67, percentage: 0
melt: Current Frame: 68, percentage: 0
melt: Current Frame: 72, percentage: 0
melt: Current Frame: 74, percentage: 0
melt: Current Frame: 77, percentage: 0
melt: Current Frame: 80, percentage: 0
melt: Current Frame: 84, percentage: 0
melt: Current Frame: 86, percentage: 0
melt: Current Frame: 89, percentage: 0
melt: Current Frame: 92, percentage: 0
melt: Current Frame: 96, percentage: 0
melt: Current Frame: 98, percentage: 0
melt: Current Frame: 101, percentage: 0
melt: Current Frame: 104, percentage: 0
melt: Current Frame: 108, percentage: 0
melt: Current Frame: 110, percentage: 0
melt: Current Frame: 113, percentage: 0
melt: Current Frame: 116, percentage: 0
melt: Current Frame: 120, percentage: 0
melt: Current Frame: 122, percentage: 0
melt: Current Frame: 125, percentage: 0
melt: Current Frame: 128, percentage: 0
melt: Current Frame: 132, percentage: 0
melt: Current Frame: 135, percentage: 0
melt: Current Frame: 137, percentage: 0
melt: Current Frame: 141, percentage: 0
melt: Current Frame: 144, percentage: 0
melt: Current Frame: 148, percentage: 0
melt: Current Frame: 151, percentage: 0
melt: Current Frame: 154, percentage: 0
melt: Current Frame: 157, percentage: 0
melt: Current Frame: 161, percentage: 0
melt: Current Frame: 164, percentage: 0
melt: Current Frame: 168, percentage: 0
melt: Current Frame: 171, percentage: 0
melt: Current Frame: 174, percentage: 0
melt: Current Frame: 177, percentage: 0
melt: Current Frame: 180, percentage: 0
melt: Current Frame: 184, percentage: 0
melt: Current Frame: 188, percentage: 0
melt: Current Frame: 191, percentage: 0
melt: Current Frame: 194, percentage: 0
melt: Current Frame: 197, percentage: 0
melt: Current Frame: 200, percentage: 0
melt: Current Frame: 204, percentage: 0
melt: Current Frame: 207, percentage: 0
melt: Current Frame: 210, percentage: 0
melt: Current Frame: 213, percentage: 0
melt: Current Frame: 216, percentage: 0
melt: Current Frame: 220, percentage: 0
melt: Current Frame: 224, percentage: 0
melt: Current Frame: 227, percentage: 0
melt: Current Frame: 229, percentage: 0
melt: Current Frame: 232, percentage: 0
melt: Current Frame: 236, percentage: 0
melt: Current Frame: 239, percentage: 0
melt: Current Frame: 242, percentage: 0
melt: Current Frame: 245, percentage: 0
melt: Current Frame: 248, percentage: 0
melt: Current Frame: 252, percentage: 0
melt: Current Frame: 256, percentage: 0
melt: Current Frame: 259, percentage: 0
melt: Current Frame: 262, percentage: 0
melt: Current Frame: 265, percentage: 0
melt: Current Frame: 268, percentage: 0
melt: Current Frame: 272, percentage: 0
melt: Current Frame: 275, percentage: 0
melt: Current Frame: 278, percentage: 0
melt: Current Frame: 281, percentage: 0
melt: Current Frame: 285, percentage: 0
melt: Current Frame: 288, percentage: 0
melt: Current Frame: 289, percentage: 0
melt: Current Frame: 293, percentage: 0
melt: Current Frame: 297, percentage: 0
melt: Current Frame: 300, percentage: 0
melt: Current Frame: 302, percentage: 0
melt: Current Frame: 306, percentage: 0
melt: Current Frame: 309, percentage: 0
melt: Current Frame: 312, percentage: 0
melt: Current Frame: 315, percentage: 0
melt: Current Frame: 318, percentage: 0
melt: Current Frame: 322, percentage: 0
melt: Current Frame: 325, percentage: 0
melt: Current Frame: 329, percentage: 0
melt: Current Frame: 331, percentage: 0
melt: Current Frame: 335, percentage: 0
melt: Current Frame: 338, percentage: 0
melt: Current Frame: 339, percentage: 0
melt: Current Frame: 343, percentage: 0
melt: Current Frame: 347, percentage: 0
melt: Current Frame: 349, percentage: 0
melt: Current Frame: 353, percentage: 0
melt: Current Frame: 356, percentage: 0
melt: Current Frame: 359, percentage: 0
melt: Current Frame: 361, percentage: 0
melt: Current Frame: 364, percentage: 0
melt: Current Frame: 368, percentage: 0
